Year,State,Value
2017,IOWA,"2,752"
2017,IOWA, (D)
2017,IOWA, (D)
2017,IOWA,"1,476"
2017,IOWA,"9,634"
2017,IOWA, (D)
2017,IOWA, (D)
2017,IOWA,"15,820"
2017,IOWA,"8,340"
2017,IOWA,"9,061"
2017,IOWA, (D)
2017,IOWA,"7,130"
2017,IOWA,805
2017,IOWA,"3,173"
2017,IOWA,"10,316"
2017,IOWA,"2,586"
2017,IOWA, (D)
2017,IOWA,"9,206"
2017,IOWA,"6,558"
2017,IOWA,"18,876"
2017,IOWA,346
2017,IOWA,"2,545"
2017,IOWA,"7,841"
2017,IOWA,"3,658"
2017,IOWA,"4,394"
2017,IOWA,464
2017,IOWA, (D)
2017,IOWA,"1,500"
2017,IOWA, (D)
2017,IOWA, (D)
2017,IOWA,358
2017,IOWA,"1,450"
2017,IOWA, (D)
2017,IOWA,"35,958"
2017,IOWA,"2,822"
2017,IOWA,"3,076"
2017,IOWA,"8,198"
2017,IOWA,"29,297"
2017,IOWA, (D)
2017,IOWA,"1,150"
2017,IOWA,"6,116"
2017,IOWA,664
2017,IOWA, (D)
2017,IOWA,"13,607"
2017,IOWA,"20,578"
2017,IOWA,870
2017,IOWA,"1,191"
2017,IOWA,508
2017,IOWA, (D)
2017,IOWA,"5,224"
2017,IOWA, (D)
2017,IOWA,"1,250"
2017,IOWA, (D)
2017,IOWA,663
2017,IOWA,"1,900"
2017,IOWA, (D)
2017,IOWA,"1,033"
2017,IOWA,"1,617"
2017,IOWA, (D)
2017,IOWA,816
2017,IOWA,"3,731"
2017,IOWA,"4,798"
2017,IOWA, (D)
2017,IOWA,"4,294"
2017,IOWA, (D)
2017,IOWA,"3,762"
2017,IOWA,"4,560"
2017,IOWA,"6,044"
2017,IOWA, (D)
2017,IOWA,694
2017,IOWA,412
2017,IOWA,"4,050"
2017,IOWA,"3,074"
2017,IOWA, (D)
2017,IOWA,"2,298"
2017,IOWA,"4,069"
2017,IOWA,739
2017,IOWA, (D)
2017,IOWA, (D)
2017,IOWA,"16,897"
2017,IOWA,"1,286"
2017,IOWA,"4,600"
2017,IOWA,477
2017,IOWA, (D)
2017,IOWA,"3,765"
2017,IOWA, (D)
2017,IOWA,550
2017,IOWA, (D)
2017,IOWA,"4,231"
2017,IOWA, (D)
2017,IOWA,"4,101"
2017,IOWA, (D)
2017,IOWA,"4,050"
2017,IOWA,"59,108"
2017,KANSAS,"1,980"
2017,KANSAS,"1,796"
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS,"31,312"
2017,KANSAS, (D)
2017,KANSAS,"1,560"
2017,KANSAS,597
2017,KANSAS,680
2017,KANSAS,"1,984"
2017,KANSAS,"3,377"
2017,KANSAS,"2,790"
2017,KANSAS,"50,412"
2017,KANSAS,783
2017,KANSAS,946
2017,KANSAS,"5,394"
2017,KANSAS,850
2017,KANSAS,"2,524"
2017,KANSAS,"5,588"
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS,"2,013"
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS,"1,140"
2017,KANSAS,"1,621"
2017,KANSAS, (D)
2017,KANSAS,"1,255"
2017,KANSAS,941
2017,KANSAS,"4,477"
2017,KANSAS,"11,677"
2017,KANSAS,"1,093"
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS,"6,277"
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS,200
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS,"1,659"
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS,"2,660"
2017,KANSAS,"1,111"
2017,KANSAS,974
2017,KANSAS,970
2017,KANSAS, (D)
2017,KANSAS,"3,309"
2017,KANSAS,"6,864"
2017,KANSAS, (D)
2017,KANSAS,"1,664"
2017,KANSAS,"1,810"
2017,KANSAS,"1,176"
2017,KANSAS, (D)
2017,KANSAS,"2,056"
2017,KANSAS,"1,980"
2017,KANSAS,"1,310"
2017,KANSAS, (D)
2017,KANSAS,"2,528"
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KANSAS, (D)
2017,KENTUCKY,"3,197"
2017,KENTUCKY,"1,106"
2017,KENTUCKY,"1,504"
2017,KENTUCKY,"1,240"
2017,KENTUCKY,"3,470"
2017,KENTUCKY,"3,936"
2017,KENTUCKY,"2,377"
2017,KENTUCKY,"4,851"
2017,KENTUCKY,"25,975"
2017,KENTUCKY,"4,696"
2017,KENTUCKY,"1,145"
2017,KENTUCKY,"3,362"
2017,KENTUCKY,"2,573"
2017,KENTUCKY,"2,528"
2017,KENTUCKY,"5,116"
2017,KENTUCKY,"2,498"
2017,KENTUCKY,773
2017,KENTUCKY,162
2017,KENTUCKY,445
2017,KENTUCKY,"12,684"
2017,KENTUCKY,"1,191"
2017,KENTUCKY,"1,234"
2017,KENTUCKY, (D)
2017,KENTUCKY,"1,995"
2017,KENTUCKY,"8,186"
2017,KENTUCKY,"6,481"
2017,KENTUCKY,"3,312"
2017,KENTUCKY,"2,788"
2017,KENTUCKY,714
2017,KENTUCKY,"2,832"
2017,KENTUCKY,506
2017,KENTUCKY,"1,310"
2017,KENTUCKY,"1,911"
2017,KENTUCKY,"3,747"
2017,KENTUCKY, (D)
2017,KENTUCKY,"15,955"
2017,KENTUCKY,"8,451"
2017,KENTUCKY,405
2017,KENTUCKY,249
2017,KENTUCKY,"1,054"
2017,KENTUCKY,"1,741"
2017,KENTUCKY,"2,470"
2017,KENTUCKY, (D)
2017,KENTUCKY,"7,829"
2017,KENTUCKY,924
2017,KENTUCKY,996
2017,KENTUCKY,"4,878"
2017,KENTUCKY,872
2017,KENTUCKY,"1,186"
2017,KENTUCKY,"1,114"
2017,KENTUCKY,605
2017,KENTUCKY,"2,807"
2017,KENTUCKY,202
2017,KENTUCKY,879
2017,KENTUCKY,"2,344"
2017,KENTUCKY,428
2017,KENTUCKY, (D)
2017,KENTUCKY,"1,846"
2017,KENTUCKY,80
2017,KENTUCKY,"3,130"
2017,KENTUCKY,"2,312"
2017,KENTUCKY,759
2017,KENTUCKY, (D)
2017,KENTUCKY,337
2017,KENTUCKY,480
2017,KENTUCKY,"2,442"
2017,KENTUCKY, (D)
2017,KENTUCKY,"1,628"
2017,KENTUCKY, (D)
2017,KENTUCKY,"1,794"
2017,KENTUCKY,798
2017,KENTUCKY,"4,732"
2017,KENTUCKY,"1,440"
2017,KENTUCKY,378
2017,KENTUCKY,"3,149"
2017,KENTUCKY,"1,086"
2017,KENTUCKY,"7,874"
2017,KENTUCKY,"2,095"
2017,KENTUCKY,"1,988"
2017,KENTUCKY, (D)
2017,KENTUCKY,480
2017,KENTUCKY,"9,430"
2017,KENTUCKY,"2,428"
2017,KENTUCKY,"4,128"
2017,KENTUCKY,"1,537"
